,Tenure,Hierarchy,Lev1,Lev2,Lev3,Lev4
AA,2,2,0,1,0,0
BB,1,2,0,1,0,0
CC,1,1,1,0,0,0
DD,3,3,0,0,1,0
EE,2,2,0,1,0,0
FF,1,3,0,0,1,0
GG,4,3,0,0,1,0
HH,3,2,0,1,0,0
II,3,3,0,0,1,0
JJ,2,1,1,0,0,0
KK,3,1,1,0,0,0
LL,2,1,1,0,0,0
MM,2,3,0,0,1,0
NN,2,2,0,1,0,0
OO,5,3,0,0,1,0
PP,5,4,0,0,0,1
QQ,3,2,0,1,0,0
RR,2,3,0,0,1,0
SS,5,4,0,0,0,1
TT,5,4,0,0,0,1
UU,2,3,0,0,1,0
VV,3,1,1,0,0,0
WW,2,2,0,1,0,0
XX,4,3,0,0,1,0
YY,4,3,0,0,1,0
ZZ,4,3,0,0,1,0
AB,3,1,1,0,0,0
BC,1,1,1,0,0,0
CD,1,1,1,0,0,0
DE,1,1,1,0,0,0
EF,1,3,0,0,1,0
FG,3,3,0,0,1,0
GH,5,3,0,0,1,0
HI,2,1,1,0,0,0
IJ,2,2,0,1,0,0
JK,4,3,0,0,1,0
KL,4,3,0,0,1,0
LM,2,1,1,0,0,0
